;cep;bairro
3214;91540-500;Agronomia
3215;90830-700;Santa Tereza
3216;90870-311;Medianeira
3217;91910-004;Camaquã
3218;91740-070;Nonoai
3219;90840-080;Santa Tereza
3220;91755-390;Aberta dos Morros
3221;90820-110;Cristal
3222;91920-660;Tristeza
3223;91750-082;Campo Novo
3224;91712-091;Cascata
3225;91430-470;Jardim Carvalho
3226;91520-532;Vila São José
3227;91710-081;Coronel Aparício Borges
3228;91720-012;Cascata
3229;91720-622;Cascata
3230;91740-521;Vila Nova
3231;91780-601;Ponta Grossa
3232;91787-381;Belém Velho
3233;91900-280;Tristeza
3234;91910-260;Camaquã
3235;91740-813;Vila Nova
3236;91430-490;Jardim Carvalho
3237;91120-260;Sarandi
3238;90245-001;Farrapos
3239;91540-500;Agronomia
3240;90830-700;Santa Tereza
3241;90870-311;Medianeira
3242;91910-004;Camaquã
3243;91740-070;Nonoai
3244;90840-080;Santa Tereza
3245;91755-390;Aberta dos Morros
3246;90820-110;Cristal
3247;91920-660;Tristeza
3248;91750-082;Campo Novo
3249;91712-091;Cascata
3250;91430-470;Jardim Carvalho
3251;91520-532;Vila São José
3252;91710-081;Coronel Aparício Borges
3253;91720-012;Cascata
3254;91720-622;Cascata
3255;91740-521;Vila Nova
3256;91780-601;Ponta Grossa
3257;91787-381;Belém Velho
3258;91900-280;Tristeza
3259;91910-260;Camaquã
3260;91740-813;Vila Nova
3261;91430-490;Jardim Carvalho
3262;91120-260;Sarandi
3263;90245-001;Farrapos
3264;91540-500;Agronomia
3265;90830-700;Santa Tereza
3266;90870-311;Medianeira
3267;91910-004;Camaquã
3268;91740-070;Nonoai
3269;90840-080;Santa Tereza
3270;91755-390;Aberta dos Morros
3271;90820-110;Cristal
3272;91920-660;Tristeza
3273;91750-082;Campo Novo
3274;91712-091;Cascata
3275;91430-470;Jardim Carvalho
3276;91520-532;Vila São José
3277;91710-081;Coronel Aparício Borges
