;cep;bairro
2495;91755-390;Aberta dos Morros
2496;90820-110;Cristal
2497;91920-660;Tristeza
2498;91750-082;Campo Novo
2499;91712-091;Cascata
2500;91430-470;Jardim Carvalho
2501;91520-532;Vila São José
2502;91710-081;Coronel Aparício Borges
2503;91720-012;Cascata
2504;91720-622;Cascata
2505;91740-521;Vila Nova
2506;91780-601;Ponta Grossa
2507;91787-381;Belém Velho
2508;91900-280;Tristeza
2509;91910-260;Camaquã
2510;91740-813;Vila Nova
2511;91430-490;Jardim Carvalho
2512;91120-260;Sarandi
2513;90245-001;Farrapos
2514;91540-500;Agronomia
2515;90830-700;Santa Tereza
2516;90870-311;Medianeira
2517;91910-004;Camaquã
2518;91740-070;Nonoai
2519;90840-080;Santa Tereza
2520;91755-390;Aberta dos Morros
2521;90820-110;Cristal
2522;91920-660;Tristeza
2523;91750-082;Campo Novo
2524;91712-091;Cascata
2525;91430-470;Jardim Carvalho
2526;91520-532;Vila São José
2527;91710-081;Coronel Aparício Borges
2528;91720-012;Cascata
2529;91720-622;Cascata
2530;91740-521;Vila Nova
2531;91780-601;Ponta Grossa
2532;91787-381;Belém Velho
2533;91900-280;Tristeza
2534;91910-260;Camaquã
2535;91740-813;Vila Nova
2536;91430-490;Jardim Carvalho
2537;91120-260;Sarandi
2538;90245-001;Farrapos
2539;91540-500;Agronomia
2540;90830-700;Santa Tereza
2541;90870-311;Medianeira
2542;91910-004;Camaquã
2543;91740-070;Nonoai
2544;90840-080;Santa Tereza
2545;91755-390;Aberta dos Morros
2546;90820-110;Cristal
2547;91920-660;Tristeza
2548;91750-082;Campo Novo
2549;91712-091;Cascata
2550;91430-470;Jardim Carvalho
2551;91520-532;Vila São José
2552;91710-081;Coronel Aparício Borges
2553;91720-012;Cascata
2554;91720-622;Cascata
2555;91740-521;Vila Nova
2556;91780-601;Ponta Grossa
2557;91787-381;Belém Velho
2558;91900-280;Tristeza
2559;91910-260;Camaquã
2560;91740-813;Vila Nova
2561;91430-490;Jardim Carvalho
2562;91120-260;Sarandi
2563;90245-001;Farrapos
2564;91540-500;Agronomia
2565;90830-700;Santa Tereza
2566;90870-311;Medianeira
2567;91910-004;Camaquã
2568;91740-070;Nonoai
2569;90840-080;Santa Tereza
2570;91755-390;Aberta dos Morros
2571;90820-110;Cristal
2572;91920-660;Tristeza
2573;91750-082;Campo Novo
2574;91712-091;Cascata
2575;91430-470;Jardim Carvalho
2576;91520-532;Vila São José
2577;91710-081;Coronel Aparício Borges
2578;91720-012;Cascata
2579;91720-622;Cascata
2580;91740-521;Vila Nova
2581;91780-601;Ponta Grossa
2582;91787-381;Belém Velho
2583;91900-280;Tristeza
2584;91910-260;Camaquã
2585;91740-813;Vila Nova
2586;91430-490;Jardim Carvalho
2587;91120-260;Sarandi
2588;90245-001;Farrapos
2589;91540-500;Agronomia
2590;90830-700;Santa Tereza
2591;90870-311;Medianeira
2592;91910-004;Camaquã
2593;91740-070;Nonoai
2594;90840-080;Santa Tereza
2595;91755-390;Aberta dos Morros
2596;90820-110;Cristal
2597;91920-660;Tristeza
2598;91750-082;Campo Novo
2599;91712-091;Cascata
2600;91430-470;Jardim Carvalho
2601;91520-532;Vila São José
2602;91710-081;Coronel Aparício Borges
2603;91720-012;Cascata
2604;91720-622;Cascata
2605;91740-521;Vila Nova
2606;91780-601;Ponta Grossa
2607;91787-381;Belém Velho
2608;91900-280;Tristeza
2609;91910-260;Camaquã
2610;91740-813;Vila Nova
2611;91430-490;Jardim Carvalho
2612;91120-260;Sarandi
2613;90245-001;Farrapos
2614;91540-500;Agronomia
2615;90830-700;Santa Tereza
2616;90870-311;Medianeira
2617;91910-004;Camaquã
2618;91740-070;Nonoai
2619;90840-080;Santa Tereza
2620;91755-390;Aberta dos Morros
2621;90820-110;Cristal
2622;91920-660;Tristeza
2623;91750-082;Campo Novo
2624;91712-091;Cascata
2625;91430-470;Jardim Carvalho
2626;91520-532;Vila São José
2627;91710-081;Coronel Aparício Borges
2628;91720-012;Cascata
2629;91720-622;Cascata
2630;91740-521;Vila Nova
2631;91780-601;Ponta Grossa
2632;91787-381;Belém Velho
2633;91900-280;Tristeza
2634;91910-260;Camaquã
2635;91740-813;Vila Nova
2636;91430-490;Jardim Carvalho
2637;91120-260;Sarandi
2638;90245-001;Farrapos
2639;91540-500;Agronomia
2640;90830-700;Santa Tereza
2641;90870-311;Medianeira
2642;91910-004;Camaquã
2643;91740-070;Nonoai
2644;90840-080;Santa Tereza
2645;91755-390;Aberta dos Morros
2646;90820-110;Cristal
2647;91920-660;Tristeza
2648;91750-082;Campo Novo
2649;91712-091;Cascata
2650;91430-470;Jardim Carvalho
2651;91520-532;Vila São José
2652;91710-081;Coronel Aparício Borges
2653;91720-012;Cascata
2654;91720-622;Cascata
2655;91740-521;Vila Nova
2656;91780-601;Ponta Grossa
2657;91787-381;Belém Velho
2658;91900-280;Tristeza
2659;91910-260;Camaquã
2660;91740-813;Vila Nova
2661;91430-490;Jardim Carvalho
2662;91120-260;Sarandi
2663;90245-001;Farrapos
2664;91540-500;Agronomia
2665;90830-700;Santa Tereza
